# silu input distribution harvested from real images
# total=14279920 below_-40=43 above_40=68
bin_lo,bin_hi,count
-39.6875,-39.5312,3
-39.5312,-39.3750,2
-39.0625,-38.9062,1
-38.1250,-37.9688,2
-37.9688,-37.8125,1
-36.8750,-36.7188,3
-36.7188,-36.5625,1
-36.4062,-36.2500,1
-36.2500,-36.0938,1
-35.6250,-35.4688,1
-35.4688,-35.3125,1
-34.5312,-34.3750,1
-34.3750,-34.2188,1
-34.0625,-33.9062,1
-33.9062,-33.7500,1
-33.7500,-33.5938,1
-33.1250,-32.9688,1
-32.5000,-32.3438,3
-32.3438,-32.1875,1
-32.1875,-32.0312,1
-31.7188,-31.5625,3
-31.5625,-31.4062,1
-30.9375,-30.7812,1
-30.3125,-30.1562,1
-30.1562,-30.0000,1
-29.6875,-29.5312,1
-29.5312,-29.3750,1
-29.0625,-28.9062,5
-28.7500,-28.5938,1
-28.4375,-28.2812,3
-28.1250,-27.9688,1
-27.9688,-27.8125,1
-27.8125,-27.6562,1
-27.6562,-27.5000,2
-27.5000,-27.3438,1
-27.3438,-27.1875,2
-26.5625,-26.4062,1
-26.4062,-26.2500,2
-26.2500,-26.0938,2
-26.0938,-25.9375,4
-25.9375,-25.7812,3
-25.7812,-25.6250,3
-25.4688,-25.3125,3
-25.3125,-25.1562,2
-25.0000,-24.8438,1
-24.8438,-24.6875,5
-24.6875,-24.5312,2
-24.5312,-24.3750,5
-24.3750,-24.2188,2
-24.2188,-24.0625,4
-24.0625,-23.9062,2
-23.9062,-23.7500,1
-23.7500,-23.5938,2
-23.5938,-23.4375,2
-23.4375,-23.2812,1
-23.2812,-23.1250,1
-23.1250,-22.9688,1
-22.9688,-22.8125,3
-22.8125,-22.6562,2
-22.6562,-22.5000,3
-22.5000,-22.3438,6
-22.3438,-22.1875,4
-22.1875,-22.0312,3
-22.0312,-21.8750,1
-21.8750,-21.7188,4
-21.7188,-21.5625,4
-21.5625,-21.4062,1
-21.4062,-21.2500,4
-21.2500,-21.0938,4
-21.0938,-20.9375,6
-20.9375,-20.7812,3
-20.7812,-20.6250,3
-20.6250,-20.4688,2
-20.4688,-20.3125,6
-20.3125,-20.1562,2
-20.1562,-20.0000,1
-20.0000,-19.8438,3
